#,Descripción de la revisión,Resultado esperado,Resultado actual,Estado,Enlace al informe de errores,
,POST: https://restful-booker.herokuapp.com/auth,,,,,
1,"Comprobación de la función ""Crear token de autentificación""","200 OK: {""token"": ""abc123""}","200 OK: {""token"": ""f8b5c303254e004""}",Pass,N/A,
2,Verificar la creación de un token con credenciales inválidas no debe ser posible,"400: {""reason"": ""Bad credentials""}","200 OK: {""reason"": ""Bad credentials""}",Not pass,RB-9,
,POST: https://restful-booker.herokuapp.com/booking,,,,,
3,"Comprobación de la función ""Crear reserva (booking)""","200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}","200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}",Pass,N/A,
4,Hacer checkin con una fecha despues del checkout no debería ser posible,400: Bad request,"200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}",Not pass,RB-7,
,"Probar la creación de una reserva con datos incompletos (nombre y apellido), debería arrojar error.",400: Bad request,"200 OK: {""bookingid"": 477,""booking"": {""firstname"": """", ""lastname"": """",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"": ""2024-01-01"",""checkout"": ""2024-01-01""},""additionalneeds"": """"}}",Not pass,RB-6,Crea igualmente la reservación 
,GET: https://restful-booker.herokuapp.com/booking // https://restful-booker.herokuapp.com/booking/:id,,,,,
5,"Se puede corroborar la reserva, filtrando por "":id""(ej: 1) de reserva","200 OK: {""firstname"": ""James"",""lastname"": ""Brown"",""totalprice"": 125,""depositpaid"": true,""bookingdates"": {""checkin"": ""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}","200 OK: {""firstname"": ""James"",""lastname"": ""Brown"",""totalprice"": 125,""depositpaid"": true,""bookingdates"": {""checkin"": ""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}",Pass,N/A,
,"Consultar una reserva inexistente por "":id"" arroja error",400: Not found,400: Not found,Pass,N/A,Arroja 400 not found
4,"Se puede corroborar la reserva, filtrando por nombre (ej: ""Jim"")","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{""bookingid"":4212},{""bookingid"":203},{""bookingid"":3625},{""bookingid"":3844},{""bookingid"":273},{""bookingid"":9},{""bookingid"":5},{""bookingid"":8},{""bookingid"":336}]",Pass,N/A,
5,"Se puede corroborar la reserva, filtrando por apellido (ej: ""Brown"")","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{""bookingid"":665},{""bookingid"":1},{""bookingid"":586},{""bookingid"":530},{""bookingid"":7},{""bookingid"":1233},{""bookingid"":10},{""bookingid"":1193},{""bookingid"":9},{""bookingid"":8},{""bookingid"":457}]",Pass,N/A,
6,"Se puede corroborar la reserva, filtrando por check-in","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{""bookingid"":699},{""bookingid"":692},{""bookingid"":1216},{""bookingid"":1187},{""bookingid"":818},{""bookingid"":1214},{""bookingid"":1224},{""bookingid"":670},{""bookingid"":20},{""bookingid"":688},{""bookingid"":1193},{""bookingid"":2739},{""bookingid"":646},{""bookingid"":1228},{""bookingid"":1183},{""bookingid"":1177},{""bookingid"":1205},{""bookingid"":1164},{""bookingid"":2324},{""bookingid"":1218},{""bookingid"":679},{""bookingid"":1179},{""bookingid"":1325},{""bookingid"":1201}]",Pass,N/A,
7,"Se puede corroborar la reserva, filtrando por check-out","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]",Pass,N/A,
8,"Se puede corroborar la reserva, filtrando por check-in/check-out","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]",200 OK: [],Not pass,RB-10,
9,"Se puede corroborar la reserva, filtrando por nombre/apellido","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{""bookingid"":6}]",Pass,N/A,Me salio como correcta la prueba segun la documentación
10,Comprobación de para ver todas las reservas en una lista,"200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]","200 OK: [{ ""bookingid"": 1},{""bookingid"": 2},{""bookingid"": 3},{""bookingid"": 4}]",Pass,N/A,
,PATCH: https://restful-booker.herokuapp.com/booking/:id,,,,,
11,Modificar (actualizar) solo nombre de la reservación,"200 OK: {""firstname"":""James""}","200 OK: {""firstname"":""James""}",Pass,N/A,
12,Modificar(actualizar) solo apellido de la reservación,"200 OK: {""lastname"":""Brown""}","200 OK: {""lastname"":""Brown""}",Pass,N/A,
13,Modificar (actualizar) nombre y apellido de la reservación,"200 OK: {""firstname"":""James"",""lastname"":""Brown""}","200 OK: {""firstname"":""James"",""lastname"":""Brown""}",Pass,N/A,
14,Modificar(actualizar) solo fecha de la reserva ingreso (check-in),"200 OK: {""checkin"":""2024-09-07""}","200 OK: {""checkin"":""2024-09-07""}",Pass,N/A,
15,Modificar (actualizar) solo fecha de la reserva de salida (check-out),"200 OK: {""checkout:""2024-09-07""}","200 OK: {""checkout:""2024-09-07""}",Pass,N/A,
,"Modificar reserva donde el check-in es posterior al check-out, no deberia pasar",400: Bad request,400: Bad request,Pass,N/A,
16,"Modificar solo campo ""additionalneeds""","200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":163,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-02-16"",""checkout"":""2020-05-06""},""additionalneeds"":""breakfast""}","200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":163,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-02-16"",""checkout"":""2020-05-06""},""additionalneeds"":""Necesito un cargador de celular""}",Pass,N/A,
17,"Modificar solo campo ""totalprice""","200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":163,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-02-16"",""checkout"":""2020-05-06""},""additionalneeds"":""Necesito un cargador de celular""}","200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":1,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-02-16"",""checkout"":""2020-05-06""},""additionalneeds"":""Necesito un cargador de celular""}",Pass,N/A,
18,Modificar (actualizar) solo ambas fechas (check-in/check-out),"200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":1,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-02-16"",""checkout"":""2021-05-06""},""additionalneeds"":""Necesito un cargador de celular""}","200 OK: {""firstname"":""Sally"",""lastname"":""Jones"",""totalprice"":1,""depositpaid"":true,""bookingdates"":{""checkin"":""2023-02-16"",""checkout"":""2023-05-06""},""additionalneeds"":""Necesito un cargador de celular""}",Pass,N/A,
,PUT: https://restful-booker.herokuapp.com/booking/:id,,,,,
19,Modificar la reservación realizada (todos los valores disponibles),"200 OK: 200 OK: {""firstname"":""Juan Pablo"",""lastname"":""Silva Martínez"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2024-10-01"",""checkout"":""2024-10-03""},""additionalneeds"":""Breakfast""}","200 OK: {""firstname"":""Juan Pablo"",""lastname"":""Silva Martínez"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2024-10-01"",""checkout"":""2024-10-03""},""additionalneeds"":""Breakfast""}",Pass,N/A,
,"Modificar reserva donde el check-in es posterior al check-out, no deberia pasar",400: Bad request,"200 OK:{""firstname"":""Juan Pablo"",""lastname"":""Silva Martínez"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2024-10-01"",""checkout"":""2023-10-03""},""additionalneeds"":""Breakfast""}",Not pass,RB-7,
,Modificar la reserva con información duplicada.,"200 OK: 200 OK: {""firstname"":""Juan Pablo"",""lastname"":""Silva Martínez"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2024-10-01"",""checkout"":""2024-10-03""},""additionalneeds"":""Breakfast""}","200 OK: 200 OK: {""firstname"":""Juan Pablo"",""lastname"":""Silva Martínez"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2024-10-01"",""checkout"":""2024-10-03""},""additionalneeds"":""Breakfast""}",Pass,N/A,
,DELETE: https://restful-booker.herokuapp.com/booking/:id,,,,,
20,"Eliminar reservación realizada con su "":id""",200 OK: Created,200 OK: Created,Pass,N/A,
,Eliminar una reservación ya eliminada no debería ,405: Method not allowed,405: Method not allowed,Pass,N/A,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,