Campo,Nombre de la clase,Límites,Datos de prueba dentro de la clase (contenido del campo),Datos de prueba en los límites (contenido del campo),Estado,Enlace al informe de errores,,
Usuario,Validación de valor por defecto,,"""admin""",,,,,
,Validación parámetro vacío,,""" """,,,,,
,Validación de cambio del parámetro,,"""nimda""",,,,,
Contraseña,Validación de valor por defecto,,"""password123""",,,,,
,Validación de parámetro vacío,,,,,,,
,Validación de cambio de parámetro ,,"""123password""",,,,,
Nombre,Longitud de texto <2 caracteres,"1, 2 y 3",,"""A""",,,"Campo no presenta restricción de número de caracteres, se pueden añadir cuantos se quieran ",
,,,"""Jo""",,,,,
,,,"""Jos""",,,,,
,Longitud de texto >14 caracteres,"13, 14 y 15+","""Joooooooooose""",,,,,
,,,"""Jooooooooooose""",,,,,
,,,,"""Joooooooooooose""",,,,
,Caracteres de alfabeto latino,,"""José""",,,,,
,Campo vacío,,"""""",,,,,
,Nombre en minusculas,,"""josé""",,,,,
,Caracteres especiales,,"""##$%&/!""",,,,,
,Nombre con un espacio antes,,"""_José""",,,,,
,Nombre con un espacio,,"""Jo se""",,,,,
,Nombre con un espacio despues,,"""José """,,,,,
,Caracteres de otro idioma,,"""なことだった""",,,,,
,Números en el nombre,,"""J0se""",,,,,
,Nombre con guión,,"""Jo-se""",,,,,
,Nombre con punto,,"""J.ose""",,,,,
,Nombre con coma,,"""Jos,e""",,,,,
Apellido,Longitud de texto <2 caracteres,"1, 2 y 3",,,,,,
,,,,,,,"Campo no presenta restricción de número de caracteres, se pueden añadir cuantos se quieran ",
,,,,,,,,
,Longitud de texto >14 caracteres,"13, 14 y 15+",,,,,,
,,,,,,,,
,,,,,,,,
,Caracteres de alfabeto latino,,5,,,,,
,Campo vacío,,,,,,,
,Apellido en minúscula,,,,,,,
,Caracteres especiales,,,,,,,
,Apellido con un espacio antes,,,,,,,
,Apelido con un espacio,,,,,,,
,Caractees de otro idioma,,,,,,,
,Números en el apellido,,,,,,,
,Apellido con guión,,,,,,,
,Apellido con punto,,,,,,,
,Apellido con coma,,,,,,,
Fecha de ingreso ,Fecha con formato DD-MM-AAAA,,01-01-2025,,,,,
,Fecha con formato MM-DD-AAAA,,12-01-2025,,,,,Campo permite ingresar cualquier fecha como check-in
,Fecha con formato AAAA-MM-DD,,2025-01-01,,,,,
,Fecha con formato AAAA-DD-MM,,2025-12-01,,,,,
,Permite ingresar números de días incorrectos,31+,,32-01-2025,,,,
,Permite ingresar meses incorrectos,12+,,01-13-2025,,,,
,Permite ingresar letras del alfabeto latino,,2025BC-01-01,,,,,
,Permite ingresar caracteres especiales,,202$-01-01,,,,,
,"Permite separar las fechas con ""/""",,2025/01/01,,,,,
,"Permite separar las fechas con"".""",,2025.01.01,,,,,
,Permite ingresar fechas de reserva pasada,,1920-01-01,,,,,
,Permite ingresar fecha actual,,2024-09-06,,,,,
,Permite no ingresar fecha,,"""""",,,,,
Fecha de salida,Fecha con formato DD-MM-AAAA,,,,,,,
,Fecha con formato MM-DD-AAAA,,,,,,,campo permite ingresar cualquier fecha como check-out
,Fecha con formato AAAA-MM-DD,,,,,,,
,Fecha con formato AAAA-DD-MM,,,,,,,
,Permite ingresar letras del alfabeto latino,,,,,,,
,Permite ingresar caracteres especiales,,,,,,,
,"Permite separar las fechas con ""/""",,,,,,,
,"Permite separar las fechas con"".""",,,,,,,
,Permite ingresar fechas de reserva pasada,,,,,,,
,Permite ingresar fecha actual,,,,,,,
,Permite no ingresar fecha,,,,,,,
Necesidades extra,Longitud de texto <2 caracteres,,,,,,,
,Longitud de texto >14 caracteres,,,,,,,
,Longitud de texto entre 2 y 14 caracteres,,,,,,,"Campo no presenta restricción de número de caracteres, se pueden añadir cuantos se quieran "
,Caracteres de alfabeto latino,,,,,,,
,Campo vacío,,,,,,,
,Caracteres especiales,,,,,,,
,Apellido con un espacio antes,,,,,,,
,Apelido con un espacio,,,,,,,
,Caractees de otro idioma,,,,,,,
,Números en el apellido,,,,,,,
,Apellido con guión,,,,,,,
,Apellido con punto,,,,,,,
,Apellido con coma,,,,,,,
Precio total,Longitud de caracteres <1 caracteres,,,,,,,
,Longitud de caracteres >19 caracteres,,,,,,,
,Caracteres de diferentes divisas,"€, £, ¥, 元, ₽...",₽ 132,,,,,
,Caracteres de alfabeto latino,,,,,,,
,Campo vacío,,,,,,,
,Caracteres especiales,,,,,,,
,Precio con un espacio antes,,,,,,,
,Precio con un espacio,,,,,,,
,Caracteres de otro idioma,,,,,,,
,Números en el apellido,,,,,,,
,Apellido con guión,,,,,,,
,Apellido con punto,,,,,,,
,Apellido con coma,,,,,,,
Pago del deposito,Permite hacer reserva con pago,TRUE,,,,,,
,Permite hacer reserva sin pago ,,,,,,,
,No permite hacer reserva con pago,FALSE,,,,,,
,No permite hacer reserva sin pago,,,,,,,